id,en,vi,wordClass
1408,threatening,"sự đe dọa,sự hăm dọa",adj
1409,violently,"mãnh liệt,dữ dội",adv
1410,shock,"sự đụng chạm,va chạm,sự kích động",v
1411,compare,"so sánh,đối chiếu",v
1412,abandoned,"bị bỏ rơi,bị ruồng bỏ",adj
1413,discover,"khám phá,phát hiện ra",v
1414,division,"sự chia,sự phân chia",n
1415,maintain,"giữ gìn,duy trì",v
1416,connection,"sự kết nối,sự giao kết",n
1417,visit,"đi thăm hỏi,đến chơi",v
1418,visit,sự đi thăm,n
1419,wander,đi lang thang,v
1420,wander,sự đi lang thang,n
1422,permission,"sự cho phép,giấy phép",n
1423,carpet,"tấm thảm,thảm",n
1424,position,"vị trí,chỗ",n
1425,transform,"thay đổi,biến đổi",v
1426,forgive,"tha,tha thứ",v
1427,owner,"người chủ,chủ nhân",n
1428,cigarette,điếu thuốc lá,n
1429,bite,"cắn,ngoạm",v
1430,bite,"sự cắn,sự ngoạm",n
1431,calm,"yên lặng,làm dịu đi",adj
1432,calm,"sự yên lặng,sự êm ả",v
1433,fighting,"sự chiến đấu,sự đấu tranh",n
1434,relax,"giải trí,nghỉ ngơi",v
1435,anxious,"lo âu,lo lắng",adj
1436,shiny,"sáng chói,bóng",adj
1437,unemployed,thất nghiệp,adj
1438,conscious,"tỉnh táo,có ý thức",adj
1439,sweat,mồ hôi,n
1440,sweat,đổ mồ hô,v
1441,exactly,"chính xác,đúng đắn",adv
1442,asleep,"ngủ,đang ngủ",adj
1443,slice,"miếng,lát mỏng",n
1444,slice,"cắt ra thành miếng mỏng,lát mỏng",v
1445,meal,bữa ăn,n
1446,tightly,"chặc chẽ,sít sao",adv
1447,civil,công dân,adj
1448,crowd,đám đông,n
1449,senate,"thượng nghi viện,ban giám hiệu",n
1450,romantic,lãng mạn,adj
1451,sad,"buồn,buồn bã",adj
1452,annoyed,"bị khó chịu,bực mình",adj
1453,justified,"hợp lý,được chứng minh là đúng",adj
1454,institute,"viện,học viện",n
1455,currently,"hiện thời,hiện nay",adv
1456,nurse,y tá,n
1457,exclude,"ngăn chạn,loại trừ",v
1458,joint,chung,adj
1459,joint,"chỗ nối,đầu nối",n
1460,sample,"mẫu,hàng mẫu",n
1461,translate,"dịch,biên dịch",v
1462,southern,thuộc phương Nam,adj
1463,attraction,"sự hút,sức hút",n
1464,title,"đầu đề,tiêu đề",n
1465,fundamental,"cơ bản,cơ sở",adj
1466,pub,"quán rượu,tiệm rượu",n
1467,get,"được,có được",v
1468,shine,"chiếu sáng,tỏa sáng",v
1469,open,"mở,ngỏ",adj
1470,open,"mở,bắt đầu",v
1471,politely,"lễ phép,lịch sự",adv
1472,tidy,"sạch sẽ,ngăn nắp",adj
1473,roll,"cuốn,cuộn",n
1474,roll,"lăn,cuốn,quấn",v
1475,each,pro mỗi,n
1476,refuse,"từ chối,khước từ",v
1477,computer,máy tính,n
1478,coast,sự lao dốc,n
1479,rude,"bất lịch sự,thô lỗ",adj
1480,fast,nhanh,adj
1481,commonly,"thông thường,bình thường",adv
1482,underwear,quần lót,n
1483,stir,"khuấy,đảo",v
1484,aloud,"lớn tiếng,to tiếng",adv
1485,tour,"cuộc đi du lịch,cuộc đi dạo",n
1486,tour,đi du lịch,v
1487,unnecessary,"không cần thiết,không mong muốn",adj
1488,swearing,"lời thề,lời nguyền rủa",n
1489,zone,"khu vực,miền",n
1490,objective,"mục tiêu,mục đích",n
1491,objective,"mục tiêu,khách quan",adj
1492,circle,"đường tròn,hình tròn",n
1493,gently,"nhẹ nhàng,êm ái",adv
1495,legal,hợp pháp,adj
1496,sell,bán,v
1497,survive,"sống lâu hơn,tiếp tục sống",v
1498,conference,"hội nghị,sự bàn bạc",n
1499,meeting,"cuộc mít tinh,cuộc biểu tình",n
1500,ideal,"quan niệm,tư tưởng",adj
1501,ideal,lý tưởng,n
1502,comfortably,"dễ chịu,thoải mái,tiện nghi",adv
1503,movement,"sự chuyển động,sự hoạt động",n
1504,purple,"tía,có màu tía",adj
1505,purple,màu tía,n
1506,violent,"mãnh liệt,mạnh mẽ",adj
1507,audience,"thính,khan giả",n
1508,unhappy,"buồn rầu,khốn khổ",adj
1509,painful,"đau đớn,đau khổ",adj
1510,departure,"sự rời khỏi,sự đi",n
1511,primary,"nguyên thủy,đầu tiên",adj
1512,behind,"sau,ở đằng sau",prep
1513,absolutely,"tuyệt đối,hoàn toàn",adv
1514,unfairly,"gian lận,không công bằng",adv
1515,identity,"cá tính,nét nhận dạng",n
1516,while,"trong lúc,trong khi",conj
1517,while,"lúc,chốc",n
1518,wool,len,n
1519,worship,"sự tôn thờ,sự tôn sùng",n
1520,worship,"thờ,thờ phụng",v
1521,museum,bảo tàng,n
1522,pressure,"sức ép,áp lực",n
1523,tongue,lưỡi,n
1524,condition,"điều kiện,tình cảnh",n
1525,guilty,"có tội,phạm tội",adj
1526,rudely,"bất lịch sự,thô lỗ",adv
1527,accept,"chấp nhận,chấp thuận",v
1528,same,"pro đều đều,đơn điệu",adj
1529,same,"cũng như thế,vẫn cái đó",n
1530,originally,"một cách sáng tạo,mới mẻ",adv
1531,convert,"đổi,biến đổi",v
1532,musical,"nhạc,âm nhạc",adj
1534,author,tác giả,n
1535,entertaining,giải trí,adj
1536,cheek,má,n
1537,impatient,"thiếu kiên nhẫn,nóng vội",adj
1538,broken,"bị gãy,bị vỡ",adj
1539,keen,"sắc,bén",adj
1540,through,"qua,xuyên qua",adv
1541,establish,"lập,thành lập",v
1542,internal,"ở trong,bên trong",adj
1543,softly,một cách mềm dẻo,adv
1544,study,"sự học tập,sự nghiên cứu",n
1545,study,"học tập,nghiên cứu",v
1546,sight,cảnh đẹp,n
1547,visitor,"khách,du khách",n
1548,cultural,văn hóa,adj
1549,truth,sự thật,n
1550,brief,"ngắn,gọn",adj
1551,offer,"biếu,tặng",v
1552,offer,sự trả giá,n
1553,awfully,"tàn khốc,khủng khiếp",adv
1554,ship,"tàu,tàu thủy",n
1555,range,"dãy,hàng",n
1556,deserve,"đáng,xứng đáng",v
1557,joke,"trò cười,lời nói đùa",n
1558,joke,"nói đùa,giễu cợt",v
1559,develop,"phát triển,mở rộng",v
1560,meet,"gặp,gặp gỡ",v
1561,programme,chương trình,n
1562,experienced,"có kinh nghiệm,từng trải",adj
1563,ice,"băng,nước đá",n
1564,cease,"dừng,ngừng,ngớt,thôi",v
1565,degree,"mức độ,trình độ",n
1566,shake,"rung,lắc",v
1567,shake,"sự rung,sự lắc",n
1568,opposing,"tính đối kháng,đối chọi",adj
1569,later,chậm hơn,adv
1570,loose,"lỏng,không chặt",adj
1571,somehow,"không biết làm sao,bằng cách này hay cách khác",adv
1572,manage,"quản lý,trông nom",v
1573,practise,"thực hành,tập luyện",v
1574,website,không gian liên tới với Internet,n
1575,continuous,"liên tục,liên tiếp",adj
1576,diagram,biểu đồ,n
1577,bedroom,phòng ngủ,n
1578,hole,"lỗ,lỗ trống",n
1579,boring,buồn chán,adj
1580,innocent,"vô tội,trong trắng",adj
1581,find,"tìm,tìm thấy",v
1582,actively,"tích cực,hăng hái,nhanh nhẹn",adv
1583,beat,"tiếng đập,sự đập",n
1584,beat,"đánh đập,đấm",v
1585,care,"sự chăm sóc,chăm nom",n
1586,care,chăm sóc,v
1587,pretend,"giả vờ,giả bộ",v
1588,enthusiastic,"hăng hái,say mê",adj
1589,experiment,"cuộc thí nghiệm,thí nghiệm",n
1590,retired,"ẩn dật,hẻo lánh,đã về hưu",adj
1591,straight,"thẳng,không cong",adv
1592,swollen,"sưng phồng,phình căng",adj
1593,repair,"sửa chữa,chỉnh tu",v
1594,repair,"sự sửa chữa,sự chỉnh tu",n
1595,funeral,"lễ tang,đám tang",n
1596,attach,"gắn,dán,trói",v
1597,rate,"tỷ lệ,tốc độ",n
1598,retain,"giữ lại,nhớ được",v
1599,photography,"thuật chụp ảnh,nghề nhiếp ảnh",n
1600,excellent,"xuất sắc,xuất chúng",adj
1601,technique,"kỹ sảo,kỹ thuật",n
1602,glad,"vui lòng,sung sướng",adj
1603,grab,"túm lấy,vồ",v
1604,cotton,"bông,chỉ",n
1605,sharply,"sắc,nhọn",adv
1606,shape,"hình,hình dạng",n
1608,tomorrow,vào ngày mai,adv
1609,tomorrow,ngày mai,n
1610,bird,chim,n
1611,upper,cao hơn,adj
1612,hide,"trốn,ẩn nấp",v
1613,service,"sự phục vụ,sự hầu hạ",n
1614,slightly,"mảnh khảnh,mỏng manh",adv
1615,employer,"chủ,người sử dụng lao động",n
1616,lecture,"bài diễn thuyết,bài thuyết trình",n
1617,line,"dây,đường",n
1618,blood,"máu,huyết",n
1619,similar,"giống như,tương tự như",adj
1620,punch,"đấm,thụi",v
1621,punch,"quả đấm,cú thụi",n
1622,regular,"thường xuyên,đều đặn",adj
1623,energy,"năng lượng,nghị lực",n
1624,vital,"sự sống,cần cho sự sống",adj
1625,table,cái bàn,n
1626,disappointment,"sự chán ngán,sự thất vọng",n
1627,unacceptable,"không thể chấp nhận,không tán thành",adj
1628,concrete,"adj.,bằng bê tông",n
1629,pin,đinh ghim,n
1630,pin,"ghim,kẹp",v
1631,defence,"cái để bảo vệ,vật để chống đỡ",n
1632,steadily,"vững chắc,vững vàng",adv
1633,sleeve,"tay áo,ống tay",n
1634,beak,mỏ chim,n
1635,wet,"ướt,ẩm ướt",adj
1636,quote,trích dẫn,v
1637,bad,"xấu,tồi",adj
1638,obviously,"một cách rõ ràng,có thể thấy được",adv
1639,ideally,"lý tưởng,đúng như lý tưởng",adv
1640,dressed,cách ăn mặc,adj
1641,beautifully,"tốt đẹp,đáng hài lòng",adv
1642,initially,"vào lúc ban đầu,ban đ",adv
1643,qualified,"đủ tư cách,điều kiện",adj
1644,battery,"pin,ắc quy",n
1645,finger,ngón tay,n
1646,tap,"mở vòi,đóng vồi",v
1647,tap,"vòi,khóa",n
1648,emerge,"nổi lên,hiện ra",v
1649,course,"tiến trình,quá trình diễn tiến",n
1650,sore,"đau,nhức",adj
1651,packet,gói nhỏ,n
1652,restrict,"hạn chế,giới hạn",v
1653,note,"lời ghi,lời ghi chép",n
1654,note,"ghi chú,ghi chép",v
1655,variety,"sự đa dạng,trạng thái khác nhau",n
1656,sting,"châm,chích",v
1657,sting,"ngòi,vòi",n
1658,sting,"sự châm,chích",n2
1659,research,sự nghiên cứu,n
1660,encouragement,"niềm cổ vũ,động viên,khuyến khích",n
1661,via,"qua,theo đường",prep
1662,profit,"thuận lợi,lợi ích",n
1663,toilet,nhà vệ sinh,n
1664,toilet,sự trang điểm,v
1665,outside,"bề ngoài,bên ngoài",adj
1666,outside,ở ngoài,adv
1667,family,"gia đình,thuộc gia đình",n
1668,pull,"lôi,kéo",v
1669,pull,"sự lôi kéo,sự giật",n
1670,over,".prep. bên trên,vượt qua",adv
1671,boss,"ông chủ,thủ trưởng",n
1672,additional,"thêm vào,tăng thêm",adj
1673,choice,sự lựa chọn,n
1674,expected,"được chờ đợi,được hy vọng",adj
1675,reader,"người đọc,độc giả",n
1676,moon,mặt trăng,n
1677,discipline,kỷ luật,n
1678,concert,buổi hòa nhạc,n
1679,wrist,cổ tay,n
1680,critical,"phê bình,phê phán",adj
1681,almost,"hầu như,gần như",adv
1682,buyer,người mua,n
1683,secure,"chắc chắn,đảm bảo",adj
1684,secure,"bảo đảm,giữ an ninh",v
1685,combination,"sự kết hợp,sự phối hợp",n
1686,import,"sự nhập,sự nhập khẩu",n
1687,import,"nhập,nhập khẩu",v
1688,curl,"quăn,xoắn,uốn quăn",v
1689,curl,sự uốn quăn,n
1690,strict,"nghiêm khắc,chặt chẽ",adj
1691,waste,"lãng phí,uổng phí",v
1692,waste,"vùng hoang vu,sa mạc",n
1693,waste,bỏ hoang,adj
1694,product,sản phẩm,n
1695,mouse,chuột,n
1696,avoid,"tránh,tránh xa",v
1697,office,"cơ quan,văn phòng",n
1698,chase,săn bắt,v
1699,chase,sự săn bắt,n
1700,quite,"hoàn toàn,hầu hết",adv
1701,unconscious,"bất tỉnh,ngất đi",adj
1702,pocket,"túi,túi tiền",n
1703,drum,"cái trống,tiếng trống",n
1704,strangely,"lạ,xa lạ",adv
1705,chat,"nói chuyện,tán gẫu",v
1706,chat,"chuyện phiếm,chuyện gẫu",n
1707,unlike,"khác,không giống",prep
1708,urban,"thành phố,khu vực",adj
1709,shame,"sự xấu hổ,thẹn thùng",n
1710,physically,"về thân thể,theo luật tự nhiên",adv
1711,market,"chợ,thị trường",n
1712,central,"trung tâm,ở giữa",adj
1713,enjoy,"thưởng thức,thích thú cái gì,được hưởng",v
1714,navy,hải quân,n
1715,garage,nhà để ô tô,n
1716,apply,"gắn vào,ghép vào",v
1717,knot,cái nơ,n
1718,prevent,"ngăn cản,ngăn chặn",v
1719,loosely,lỏng lẻo,adv
1720,set,"bộ,bọn,đám",n
1721,set,"đặt để,bố trí",v
1722,formerly,"trước đây,thuở xưa",adv
1723,literature,"/ˈlɪtərətʃər/ văn chương,văn học",n
1724,boot,giày ống,n
1725,electric,"điện,có điện",adj
1726,purely,"hoàn toàn,chỉ là",adv
1727,term,"giới hạn,kỳ hạn,khóa",n
1728,toy,"đồ chơi,đồ trang trí",n
1729,toy,thể loại đồ chơi,adj
1730,unexpected,"bất ngờ,đột ngột",adj
1731,feather,lông chim,n
1732,irritate,"làm phát cáu,chọc tức",v
1733,anniversary,"ngày,lễ kỉ niệm",n
1734,willingly,"sẵn lòng,tự nguyện",adv
1735,coal,than đá,n
1736,skirt,"váy,đầm",n
1737,opportunity,"cơ hội,thời cơ",n
1738,hit,"đánh,đấm",v
1739,hit,"đòn,cú đấm",n
1740,nervously,"bồn chồn,lo lắng",adv
1741,bring,"mang,cầm",v
1742,surely,chắc chắn,adv
1743,phrase,câu,n
1744,shelf,"kệ,ngăn",n
1745,tip,"đầu,mút,đỉnh",n
1746,tip,"bịt đầu,lắp đầu vào",v
1747,step,bước,n
1748,step,"bước,bước đi",v
1749,deny,"từ chối,phản đối",v
1750,belief,"lòng tin,đức tin",n
1751,load,"gánh nặng,vật nặng",n
1752,load,"chất,chở",v
1753,potato,khoai tây,n
1754,familiar,"thân thiết,quen thuộc",adj
1755,remember,"nhớ,nhớ lại",v
1756,opening,"khe hở,lỗ",n
1757,occasion,"dịp,cơ hội",n
1758,extension,"sự giơ,duỗi",n
1759,industrial,"công nghiệp,kỹ nghệ",adj
1760,rival,"đối thủ,địch thủ",n
1761,rival,"đối địch,cạnh tranh",adj
1762,allied,"liên minh,đồng minh",adj
1763,power,"khả năng,tài năng",n
1764,old fashioned,lỗi thời,adj
1765,devote,"hiến dâng,dành hết cho",v
1766,entirely,"toàn vẹn,trọn vẹn",adv
1767,airport,"sân bay,phi trường",n
1768,contrasting,tương phản,adj
1769,sink,"chìm,lún",v
1770,automatic,tự động,adj
1771,relationship,"mối quan hệ,mối liên lạc",n
1772,feel,cảm thấy,v
1773,apartment,"căn phòng,căn buồng",n
1774,extensive,"rộng rãi,bao quát",adj
1775,fridge,tủ lạnh,n
1776,recognize,"nhận ra,nhận diện",v
1777,dress,"váy,quần áo,mặc",n
1778,clean,"sạch,sạch sẽ",adj
1779,worried,"bồn chồn,lo nghĩ",adj
1780,fully,"đầy đủ,hoàn toàn",adv
1781,stomach,dạ dày,n
1782,recall,"gọi về,triệu hồi",v
1783,convenient,"tiện lợi,thuận lợi",adj
1784,again,"lại,nữa",adv
1785,week,"tuần,tuần lễ",n
1786,insert,"chèn vào,lồng vào",v
1787,self,bản thân mình,n
1788,drunk,say rượu,adj
1789,publicity,"sự công khai,sự quảng cáo",n
1790,upstairs,"ở tên gác,cư ngụ ở tầng gác",adv
1791,upstairs,tầng trên,adj
1792,greatly,"rất,lắm",adv
1793,wear,"mặc,mang",v
1794,proudly,"một cách tự hào,một cách hãnh diện",adv
1795,plan,"bản đồ,kế hoạch",n
1796,plan,"vẽ bản đồ,lập kế hoạch",v
1797,rubbish,"vật vô giá trị,bỏ đi",n
1798,unhappiness,"nỗi buồn,sự bất hạnh",n
1799,busy,"bận,bận rộn",adj
1800,attack,"sự tấn công,sự công kích",n
1801,attack,"tấn công,công kích",v
1802,plant,"thực vật,sự mọc lên",n
1803,plant,"trồng,gieo",v
1804,fat,"béo,béo bở",adj
1805,fat,"mỡ,chất béo",n
1806,doctor,"bác sĩ y khoa,tiến sĩ",n
1807,distribute,"phân bổ,phân phối,sắp xếp",v
1808,genuinely,"thành thật,chân thật",adv
1809,flat,"bằng phẳng,bẹt",adj
1810,flat,"dãy phòng,căn phòng",n
1811,hall,"đại sảnh,tòa",n
1812,measurement,"sự đo lường,phép đo",n
1813,society,xã hội,n
1814,secondary,"trung học,thứ yếu",adj
1815,altogether,"hoàn toàn,hầu như",adv
1816,distribution,"sự phân bổ,sự phân phối,phân phát",n
1817,vacation,"kỳ nghỉ hè,kỳ nghỉ lễ",n
1818,enormous,"to lớn,khổng lồ",adj
1819,primarily,"trước hết,đầu tiên",adv
1820,expectation,"sự mong chờ,sự chờ đợi",n
1821,birth,"sự ra đời,sự sinh đẻ",n
1822,potentially,"tiềm năng,tiềm ẩn",adv
1823,fine,"tốt,giỏi",adj
1824,elegant,"thanh lịch,tao nhã",adj
1825,tin,thiếc,n
1826,congress,"đại hội,hội nghị",n
1827,sexually,"giới tính,các vấn đề sinh lý",adv
1828,employment,sự thuê mướn,n
1829,cause,"nguyên nhân,nguyên do",n
1830,cause,"gây ra,gây nên",v
1831,dying,sự chết,adj
1832,package,"gói đồ,bưu kiện",n
1833,package,"đóng gói,đóng kiện",v
1834,bill,"hóa đơn,giấy bạc",n
1835,newly,mới,adv
1836,exaggerate,"cường điệu,phóng đại",v
1837,wonderful,"phi thường,khác thường,kỳ diệu",adj
1838,project,"đề án,dự án",n
1839,project,"dự kiến,kế hoạch",v
1840,dismiss,"giải tán,gạt bỏ",v
1842,correctly,"đúng,chính xác",adv
1843,technical,"kỹ thuật,chuyên môn",adj
1844,stove,"bếp lò,lò sưởi",n
1845,understand,"hiểu,nhận thức",v
1846,nice,"đẹp,thú vị",adj
1847,forecast,"sự dự đoán,dự báo",n
1848,forecast,"dự đoán,dự báo",v
1849,change,"thay đổi,sự thay đổi",v
1850,people,"dân tộc,dòng giống",n
1851,photograph,"ảnh,bức ảnh",n
1852,photograph,chụp ảnh,v
1853,furniture,đồ đạc,n
1854,grain,"thóc lúa,hạt",n
1855,fresh,"tươi,tươi tắn",adj
1856,preserve,"bảo quản,giữ gìn",v
1857,briefly,"ngắn,gọn,vắn tắt",adv
1858,island,/´ailənd/ hòn đảo,n
1859,permanent,"lâu dài,vĩnh cửu",adj
1860,certificate,"giấy chứng nhận,bằng",n
1861,fund,"kho,quỹ",n
1862,fund,"tài trợ,tiền bạc",v
1863,van,"tiền đội,quân tiên phong",n
1864,inform,"báo cho biết,cung cấp tin tức",v
1865,list,danh sách,n
1866,list,ghi vào danh sách,v
1867,door,"cửa,cửa ra vào",n
1868,factory,"nhà máy,xí nghiệp",n
1869,lock,"mớ tóc,mớ bông",v
1870,lock,khóa,n
1871,firmly,"vững chắc,kiên quyết",adv
1872,destruction,"sự phá hoại,sự phá hủy",n
1873,cross,"cây Thánh Giá,nỗi thống khổ",n
1874,cross,sự băng qua,v
1875,effort,"sự cố gắng,sự nỗ lực",n
1876,passport,hộ chiếu,n
1877,divorce,sự ly dị,n
1878,chief,"trọng yếu,chính yếu",adj
1879,chief,"thủ lĩnh,lãnh tụ,người đứng đầu",n
1880,confuse,"làm lộn xộn,xáo trộn",v
1881,worst,"xấu nhất,tồi nhất,tệ nhất",adj
1882,suspect,"nghi ngờ,hoài nghi",v
1883,suspect,"người khả nghi,người bị tình nghi",n
1884,topic,"đề tài,chủ đề",n
1885,studio,"xưởng phim,trường quay",n
1886,engineering,"nghề kỹ sư,công việc của kỹ sư",n
1887,roughly,"gồ ghề,lởm chởm",adv
1888,especially,"đặc biệt là,nhất là",adv
1889,little,"pro nhỏ,bé",n
1890,little,không nhiều,adv
1891,swell,"phồng lên,sưng lên",v
1892,smart,"mạnh,ác liệt,khéo léo",adj
1893,coughing,ho,n
1894,chamber,"buồng,phòng",n
1895,palace,"cung điện,lâu đài",n
1896,brick,gạch,n
1897,cast,"quăng,ném,thả",v
1898,cast,"sự quăng,sự ném",n
1899,remark,"sự nhận xét,phê bình,sự để ý",n
1900,remark,"nhận xét,phê bình",v
1901,attractive,"hút,thu hút,có duyên",adj
1902,card,"thẻ,thiếp",n
1903,without,"không,không có",prep
1904,considerably,"đáng kể,lớn lao",adv
1905,strategy,chiến lược,n
1906,foot,"chân,bàn chân",n
1907,repeatedly,lặp đi lặp lại nhiều lần,adv
1908,rhythm,nhịp điệu,n
1909,fork,cái nĩa,n
1910,box,"hộp,thùng",n
1911,get on,"leo,trèo lên",v
1912,criminal,"có tội,phạm tội",adj
1913,criminal,"kẻ phạm tội,tội phạm",n
1914,towards,"theo hướng,về hướng",prep
1915,user,"người dùng,người sử dụng",n
1916,eastern,đông,adj
1917,dig,"đào bới,xới",v
1918,after,"sau,đằng sau",prep
1919,form,"hình thể,hình dạng",n
1920,form,"làm thành,được tạo thành",v
1921,crisp,giòn,adj
1922,abroad,"ở,ra nước ngoài",adv
1923,born,"sinh,đẻ",v
1924,mystery,"điều huyền bí,điều thần bí",n
1925,elbow,khuỷu tay,n
1926,tend,"trông nom,chăm sóc,giữ gìn",v
1927,customer,khách hàng,n
1928,manner,"/'mænз/ cách,lối",n
1929,answer,sự trả lời,n
1930,answer,trả lời,v
1931,remains,"đồ thừa,cái còn lại",n
1932,celebration,"sự kỷ niệm,lễ kỷ niệm",n
1933,hang,"treo,mắc",v
1934,cheese,pho mát,n
1935,winner,người thắng cuộc,n
1936,officer,"viên chức,cảnh sát",n
1937,waitress,người nữ hầu bàn,n
1938,aggressive,"xâm lược,hung hăng",adj
1939,scene,"cảnh,phong cảnh",n
1940,logical,"hợp lý,hợp logic",adj
1941,universe,vũ trụ,n
1942,conservative,"thận trọng,dè dặt",adj
1943,salad,sa lát,n
1945,woman,"đàn bà,phụ nữ",n
1946,steel,"thép,ngành thép",n
1947,sum,"tổng,toàn bộ",n
1948,multiply,"nhân lên,làm tăng lên nhiều lần",v
1949,concerned,"có liên quan,có dính líu",adj
1950,date,"ngày,kỳ,kỳ hạn",n
1951,date,đề ngày tháng,v
1952,field,"cánh đồng,bãi chiến trường",n
1953,model,"mẫu,kiểu mẫu",n
1954,intend,"ý định,có ý định",v
1955,touch,"sờ,mó",v
1956,touch,"sự sờ,sự mó",n
1957,hammer,búa,n
1958,anxiety,"mối lo âu,sự lo lắng",n
1959,highway,đường quốc lộ,n
1960,pregnant,mang thai,adj
1961,resistance,"sự chống lại,sự phản đối",n
1962,shout,"hò hét,reo hò",v
1963,shout,"sự la hét,sự hò reo",n
1964,as,như,"prep,adv, conj."
1965,formula,"công thức,thể thức",n
1966,advantage,"sự thuận lợi,lợi ích",n
1967,town,"thị trấn,thị xã",n
1968,menu,thực đơn,n
1969,broadcast,"tung ra khắp nơi,truyền rộng rãi",v
1970,broadcast,"phát thanh,quảng bá",n
1971,judge,"xét xử,phân xử",n
1972,judge,"quan tòa,thẩm phán",v
1973,united,"liên minh,đoàn kết,chung",adj
1974,faithful,"trung thành,chung thủy",adj
1975,engage,"hứa hẹn,cam kết",v
1976,upon,"trên,ở trên",prep
1977,available,"có thể dùng được,có giá trị",adj
1978,educated,"được giáo dục,được đào tạo",adj
1979,chest,"tủ,rương",n
1980,president,"hiệu trưởng,chủ tịnh",n
1981,difficulty,"sự khó khăn,nỗi khó khăn",n
1982,typically,"điển hình,tiêu biểu",adv
1983,cabinet,tủ có nhiều ngăn đựng đồ,n
1984,fashionable,"đúng mốt,hợp thời trang",adj
1985,perfect,hoàn hảo,adj
1986,curved,cong,adj
1987,eat,ăn,v
1988,convention,"hội nghị,hiệp định",n
1989,grateful,"biết ơn,dễ chịu",adj
1990,specifically,"đặc trưng,riêng biệt",adv
1991,cloth,"vải,khăn trải bàn",n
1992,chop,"chặt,đốn",v
1993,compete,"đua tranh,ganh đua",v
1994,temporary,"tạm thời,nhất thời",n
1995,injure,"làm tổn thương,làm hại",v
1996,aged,già đi,adj
1997,simple,"đơn,đơn giản",adj
1998,advertisement,quảng cáo,n
1999,improve,"cải thiện,cái tiến",v
2000,lie,nói dối,v
2001,lie,"lời nói dối,sự dối trá",n
2002,against,"chống lại,phản đối",prep
2003,scissors,cái kéo,n
2004,rented,"được thuê,được mướn",adj
2005,main,"chính,chủ yếu",adj
2006,prize,"giải,giải thưởng",n
2007,neat,"sạch,ngăn nắp",adj
2008,outdoors,"ở ngoài trời,ở ngoài nhà",adv
2009,trousers,quần,n
2010,department,"cục,sở,ty",n
2011,valid,"chắc chắn,hiệu quả",adj
2012,whistle,"sự huýt sáo,sự thổi còi",n
2013,whistle,"huýt sáo,thổi còi",v
2014,social,có tính xã hội,adj
2015,disappointed,thất vọng,adj
2016,ear,tai,n
2017,that,"pro người ấy,đó,vật ấy",n
2018,that,"rằng,là",conj
2019,vertical,"thẳng đứng,đứng",adj
2020,rely on,"tin vào,tin cậy",v
2021,tail,"đuôi,đoạn cuối",n
2022,nephew,cháu trai,n
2023,extreme,"vô cùng,khắc nghiệt,quá khích",adj
2024,extreme,sự quá khích,n
2025,budget,ngân sách,n
2026,true,"đúng,thật",adj
2027,infectious,"lây,nhiễm",adj
2028,unpleasant,"không dễ chịu,khó chịu",adj
2029,hesitate,"ngập ngừng,do dự",v
2030,rural,"nông thôn,vùng nông thôn",adj
2031,lip,môi,n
2032,otherwise,"khác,cách khác",adv
2033,chemistry,"hóa học,môn hóa học",n
2034,army,quân đội,n
2035,funny,"buồn cười,khôi hài",adj
2036,dancer,"diễn viên múa,người nhảy múa",n
2037,blank,"trống,để trắng",adj
2038,blank,sự trống rỗng,n
2039,exhibition,"cuộc triển lãm,trưng bày",n
2040,uncle,"chú,bác",n
2041,unit,đơn vị,n
2042,runner,người chạy,n
2043,pleasing,mang lại niềm vui thích,adj
2044,popular,"có tính đại chúng,phổ biến",adj
2046,scratch,"cào,làm xước da",v
2047,scratch,"sự cào,sự trầy xước da",n
2048,notice,"thông báo,yết thị",n
2049,notice,"chú ý,để ý",v
2050,vehicle,xe cộ,n
2051,mile,dặm,n
2052,bell,"cái chuông,tiếng chuông",n
2053,wednesday,thứ 4,n
2054,peak,lưỡi trai,n
2055,happiness,"sự sung sướng,hạnh phúc",n
2056,afraid,"sợ,sợ hãi",adj
2057,shell,"vỏ,mai",n
2058,lamp,đèn,n
2059,maximum,"cực độ,tối đa",adj
2060,maximum,"trị số cực đại,lượng cực đại",n
2061,consequence,"kết quả,hậu quả",n
2062,singer,ca sĩ,n
2063,essentially,"về bản chất,về cơ bản",adv
2064,gasoline,"dầu lửa,dầu hỏa",n
2065,muscle,"cơ,bắp thịt",n
2066,personality,"nhân cách,tính cách",n
2067,tourist,khách du lịch,n
2068,ceremony,"nghi thức,nghi lễ",n
2069,exact,"chính xác,đúng",adj
2070,engaged,"đã đính ước,đã hứa hôn",adj
2071,spiritual,"tinh thần,linh hồn",adj
2072,security,"sự an toàn,sự an ninh",n
2073,capacity,"năng lực,khả năng tiếp thu",n
2074,sheep,con cừu,n
2075,machine,"máy,máy móc",n
2076,stretch,"căng ra,duỗi ra",v
2077,college,trường cao đẳng,n
2078,site,"chỗ,vị trí",n
2079,flash,"loé sáng,vụt sáng",v
2080,flash,"ánh sáng lóe lên,đèn nháy",n
2081,access,"lối,cửa",n
2082,specific,"đặc trưng,riêng biệt",adj
2083,engine,"máy,động cơ",n
2084,slow,"chậm,chậm chạp",adj
2085,nor,cũng không,conj
2086,healthy,"khỏe mạnh,lành mạnh",adj
2087,leader,"người lãnh đạo,lãnh tụ",n
2088,infection,"sự nhiễm,sự đầu độc",n
